pitcher,pitch_type,t_start,t_end,n_samples,pointer_peak_N,pointer_F_rel_N,pointer_t_rel,pointer_impulse_Ns,pointer_RFD_Ns,middle_peak_N,middle_F_rel_N,middle_t_rel,middle_impulse_Ns,middle_RFD_Ns,thumb_peak_N,thumb_F_rel_N,thumb_t_rel,thumb_impulse_Ns,thumb_RFD_Ns,thumb_lead_ms,pointer_middle_gap_ms,total_peak_N,CV_peak,pointer_share,middle_share,thumb_share,finger_peak_N,finger_F_rel_N,finger_impulse_Ns,finger_RFD_Ns,thumb_finger_ratio,velo_mph,spin_rpm,hz_break,ivb,effort_pct,raw_tag,effort_source,warmup,paired,analyzable
P1,fastball,1194343.21,1194499.094,73,15.689054726368159,8.243834217956225,1194499.094,1.2011462159451323,494.93971946433965,7.0430079835178985,3.7684756256445646,1194499.094,0.38420202000867437,5902.281723957365,21.764705882352942,11.743057760438424,1194478.269,1.470705685328312,550.0912688956208,20.824999999953434,0.0,44.496768592239,0.49878814055316034,0.352588631101284,0.15828133606866723,0.4891300328300487,22.73206270988606,12.01230984360079,1.5853482359538067,6397.221443421705,0.9574452683912218,68.3,,,,60.0,68.3,state_marker,False,True,True
P1,fastball,1201783.565,1201952.791,74,18.423857868020306,5.632839117769367,1201952.791,1.2113429281494148,2972.658518889316,5.040852575488454,1.8377315930095046,1201950.714,0.3692567656984166,2975.326456627568,14.831810854379366,1.563212623065262,1201936.142,1.1909592032619165,4730.010577047036,14.571999999927357,-2.0770000000484288,38.29652129788813,0.5426063622353131,0.4810843712072693,0.1316269051248379,0.3872887236678928,23.46471044350876,7.470570710778872,1.5805996938478315,5947.984975516883,0.6320900865189416,67.5,,,,60.0,67.5,state_marker,False,True,True
P1,fastball,1209571.19,1209687.37,58,15.763550884955752,10.237550949139713,1209687.37,0.8215397787337918,5342.189255382407,7.078052550231839,3.2428433853427268,1209687.37,0.3941134775355009,4276.448716561585,12.375760783275998,7.863144163967221,1209671.341,0.7025045740205234,3450.7152659996887,16.029000000096858,0.0,35.21736421846359,0.3729076427501236,0.44760734469422087,0.20098189365690783,0.35141076164887136,22.84160343518759,13.48039433448244,1.2156532562692928,9618.637971943992,0.5418078822002086,69.0,,,,60.0,69.0,state_marker,False,True,True
P2,fastball,2728194.919,2728773.853,169,20.98994541798334,12.85622227048265,2728773.853,2.363192338374603,894642.207623117,24.651832460732983,22.59504776326301,2728773.853,2.0839002220608114,698196.6360847438,17.229007633587788,8.87732308755476,2728755.144,2.3849930963547097,130368.28354042441,18.709000000264496,0.0,62.87078551230411,0.177102410606939,0.3338584884369785,0.39210314074902886,0.2740383708139926,45.641777878716326,35.45127003374566,4.447092560435415,1592838.843707861,0.3774832715625221,77.1,1607.0,,,,warmup77.1+1607,warmup,True,True,False
P2,fastball,2783860.916,2784482.419,215,26.768770565360455,17.247480308598167,2784482.419,3.225802206748003,207298.61534818978,16.04530477759473,14.19148580530749,2784482.419,1.629513374458388,909068.4363786853,27.516941789748046,12.659165292048394,2784464.985,3.54494330738819,833193.6816291749,17.434000000357628,0.0,70.33101713270324,0.27376622007704277,0.38061116782730614,0.22813980846203089,0.3912490237106629,42.814075342955185,31.438966113905657,4.855315581206391,1116367.0517268751,0.6427078377689593,73.5,,,,,warmup73.5,warmup,True,True,False
P2,fastball,2827377.405,2827531.009,72,18.307692307692307,12.124725307061263,2827531.009,1.702992321209999,841.5043919869987,7.429493801652892,4.9075597864376865,2827531.009,0.45094300245805535,517.6967362723444,12.97211155378486,1.9803826131432207,2827516.419,0.9700954146888763,187747.49629119606,14.589999999850988,0.0,38.70929766313006,0.4215597753345701,0.472953357795744,0.1919304727848203,0.3351161694194357,25.7371861093452,17.03228509349895,2.1539353236680543,1359.201128259343,0.5040221374113105,75.4,,,,,warmup75.4,warmup,True,True,False
P2,fastball,2872123.866,2872253.786,63,21.636363636363637,12.752985138655328,2872253.786,1.7193776110193812,1069200.8200069403,6.3458877786318215,4.542187470204452,2872253.786,0.40009699090836975,384947.8138045536,11.868108678448959,7.850122107651231,2872236.357,0.8296199200904911,348270.73016448086,17.429000000003725,0.0,39.85036009344442,0.5828959961697068,0.542940229037552,0.1592429218644815,0.29781684909796635,27.98225141499546,17.29517260885978,2.119474601927751,1454148.6338114939,0.4241298708398044,77.1,,,,,warmup77.1,warmup,True,True,False
P2,fastball,2904731.291,2905268.56,169,18.230357645733598,11.948020045619804,2905268.56,2.172288616037205,333770.1083098897,10.75,7.624262190502108,2905268.56,1.1043571884070649,159724.72917114323,25.556701030927837,19.09011121228005,2905249.821,3.1262351264815122,198263.74134825933,18.739000000059605,0.0,54.53705867666143,0.4072543071204291,0.33427467648773457,0.19711367390996373,0.4686116496023017,28.980357645733598,19.572282236121914,3.2766458044442697,493494.83748103294,0.8818628584002385,76.3,,,,,warmup76.3,warmup,True,True,False
P2,fastball,2945957.898,2946433.367,114,24.24074074074074,15.73067461630664,2946433.367,2.493568366156141,1076043.596220147,8.853601252609604,6.766580433997997,2946433.367,0.8667173912414502,325909.39208957605,23.106719367588934,7.744429594787147,2946423.114,2.471677480000002,464478.5838168135,10.253000000026077,0.0,56.20106136093928,0.45774074682186955,0.4313217607236948,0.15753441373196223,0.411143825544343,33.09434199335034,22.497255050304638,3.3602857573975915,1401952.988309723,0.698207547750361,75.6,,,,,warmup75.6,warmup,True,True,False
P2,fastball,3004096.231,3004638.076,140,23.36196319018405,15.460492148481496,3004638.076,2.2937362733480327,178519.5882787484,10.124308664735317,8.800460995183975,3004635.993,1.0239523171886586,128315.62883480355,26.90909090909091,16.00646262982875,3004623.496,2.9488611346772275,112592.41189083687,12.496999999973923,-2.083000000100583,60.39536276401027,0.43942155016192647,0.38681716809068484,0.16763387454588508,0.44554895736343014,33.486271854919366,24.26095314366547,3.317688590536691,306835.2171135519,0.8035857507720071,76.2,,,,,warmup76.2,warmup,True,True,False
P2,fastball,3483951.334,3484832.442,305,24.325,16.175311792592424,3484832.442,2.554768573307574,532641.0540427914,19.72043918918919,15.293433103457005,3484830.359,2.5255475937099416,381354.3680254122,32.10698365527489,18.875638703895497,3484823.3,5.556590325191424,347556.0262410637,7.059000000357628,-2.0829999996349216,76.15242284446407,0.24664325193591288,0.3194251619502913,0.25896010202415737,0.4216147360255514,44.04543918918919,31.46874489604943,5.080316167017516,913995.4220682036,0.7289513794462389,,,,,,,,False,False,False
P2,fastball,3548947.167,3549429.448,109,19.16416217748795,10.524751484466528,3549429.448,2.328190341859421,353088.8039623359,11.792910447761194,8.92053179003159,3549429.448,1.1469537490947954,260986.4843667819,10.075117370892018,5.519712085979688,3549411.682,1.1178990346097435,37363.233912096395,17.765999999828637,0.0,41.03218999614116,0.35304086534672247,0.46705189704205957,0.28740631316218435,0.24554178979575605,30.957072625249143,19.445283274498117,3.4751440909542164,614075.2883291178,0.3254544605317291,,,,,,,,False,False,False
P2,fastball,3641813.567,3642519.661,276,24.917601890135852,19.826981819542162,3642519.661,3.104484526807775,511829.72104892187,13.81021897810219,10.432862776120468,3642519.661,1.7878388404310954,293391.09999490593,34.8235294117647,18.634136137221414,3642505.815,5.1166034853138544,352635.9554553342,13.845999999903142,0.0,73.55135028000274,0.4287770983713942,0.33877830652023383,0.18776295643150057,0.47345873704826574,38.72782086823804,30.259844595662628,4.892323367238871,805220.8210438278,0.8991863892947466,80.8,,,,100.0,100%80.8,explicit_prefix,False,True,True
P2,fastball,3692192.948,3692695.002,150,25.045226130653266,12.678051080720163,3692695.002,2.7305760198134417,608578.2248079536,16.16488046166529,14.740586135242962,3692692.919,1.5299587912188277,158165.11650194062,21.527272727272727,16.38990203017616,3692680.433,2.7095640373263405,148309.22492145022,12.486000000033528,-2.0829999996349216,62.737379319591284,0.2138429885817457,0.39920740079164063,0.2576594788781273,0.343133120330232,41.21010659231855,27.418637215963123,4.26053481103227,766743.3413098942,0.5223784772079515,82.4,,,,100.0,100%82.4,explicit_prefix,False,True,True
P2,curveball,3742453.921,3743149.438,152,1.1656411518582328,0.9365648878747412,3743149.438,0.17693910218960376,123.04276225341475,4.091205211726384,1.3437190623156985,3743149.438,2.0347242827518803,157.49314511176786,2.1297539149888145,1.8369141492996415,3743149.438,0.7410582272106228,88145.45501525009,0.0,0.0,7.3866002785734315,0.6054934134067698,0.15780482331492185,0.5538684993682257,0.28832667731685246,5.256846363584617,2.28028395019044,2.211663384941484,280.5359073651826,0.4051390829570576,,,,,,,,False,False,False
P2,curveball,3746524.971,3747163.377,230,1.0189328743545611,0.7355069255581557,3747163.377,0.4294404160073448,145845.89947531137,2.0979955456570156,1.5291796279757182,3747163.377,0.9544133572880044,117385.49801130968,2.7349487884086936,1.8369215808222965,3747163.377,1.3071453674822888,131.1014794123121,0.0,0.0,5.85187720842027,0.4447024325754677,0.17412068607461856,0.35851667267354964,0.46736264125183175,3.1169284200115768,2.264686553533874,1.383853773295349,263231.39748662105,0.8774499827617266,,,,,,,,False,False,False
P2,curveball,3747651.021,3747961.165,143,0.9456869009584664,0.5586986542256992,3747961.165,0.21628272944383722,182084.02409035218,2.0979955456570156,1.15868307512935,3747961.165,0.47239682347041956,2729.8957460327456,4.4934110491637105,2.5288633976510093,3747961.165,1.051020938809222,121522.26487097493,0.0,0.0,7.537093495779192,0.7203558103116972,0.1254710322338519,0.2783560462440731,0.596172921522075,3.043682446615482,1.7173817293550493,0.6886795529142568,184813.9198363849,1.476307442703262,,,,,,,,False,False,False
P2,curveball,3755051.69,3755480.797,162,2.0891530460624073,1.398535076724689,3755480.797,0.6373107592081517,110875.1085454626,2.968897735755163,2.0849141006252903,3755480.797,0.8618566039398192,234945.0528188887,1.6797919762258544,0.6721560885784149,3755480.797,0.48222331431460086,114.44049184731946,0.0,0.0,6.737842758043424,0.2932841597641535,0.3100626003134968,0.4406303088938944,0.2493070907926089,5.05805078181757,3.4834491773499794,1.499167363147971,345820.1613643513,0.3321026317616832,,,,,,,,False,False,False
P2,curveball,3755759.91,3755888.683,57,20.67798497077651,17.36710645605985,3755888.683,1.6223085907079227,691776.5493339067,34.059435364041605,30.229313593670298,3755888.683,1.5790463887500268,1240092.1132500272,0.9667651403249631,0.08724814311765026,3755886.6,0.09278285815206942,660.5048247698815,2.083000000100583,0.0,55.70418547514308,0.8965352936330493,0.37121061540346306,0.6114340434838594,0.017355341112677492,54.73742033481811,47.59642004973015,3.2013549794579497,1931868.662583934,0.01766186887163205,68.9,,,,100.0,68.9,default_max,False,True,True
P2,curveball,3810940.671,3811044.813,51,14.134831460674157,10.5482698964441,3811044.813,0.9578406563272565,1288.2634939387774,25.43898978433598,18.665539866107572,3811044.813,1.2411885774231697,2903.295174777342,1.4709517923362176,0.6200619619940713,3811042.727,0.112686746300706,142.2737929204522,2.08600000012666,0.0,41.04477303734635,0.8763926222793957,0.3443759196283768,0.6197863431036449,0.03583773726797829,39.57382124501014,29.213809762551673,2.199029233750426,4191.558668716119,0.0371698194932765,69.1,1676.0,,,100.0,69.1 + 1676,default_max,False,True,True
P2,curveball,3875470.743,3875586.565,57,18.089339545080843,13.70180394265955,3875586.565,1.32915259883143,227021.78529182076,24.051816389749366,16.391278075809826,3875586.565,0.8914356612384371,720981.4990106127,2.0695652173913044,0.33845975132239936,3875584.482,0.15591407787530048,243.24702828027432,2.083000000100583,0.0,44.21072115222151,0.7714041225992545,0.40916182938517587,0.5440267827103925,0.04681138790443169,42.14115593483021,30.093082018469374,2.220588260069867,948003.2843024335,0.04911030966003432,,,,,,,,False,False,False
P2,curveball,3983800.811,3983929.643,63,18.591533809785595,13.42677927179195,3983929.643,1.452342643699805,756068.2985524203,28.652613341033785,19.51208667649518,3983927.559,1.1736294401820788,1174473.1114283665,1.4114158636026686,0.2233472994876625,3983929.643,0.11462515907649327,113.98905003940175,-2.0840000002644956,-2.0840000002644956,48.65556301442205,0.8493230200442005,0.38210499803023257,0.5888866876854519,0.02900831428431543,47.24414715081938,32.93886594828713,2.6259720838818836,1930541.409980787,0.02987493581156094,,,,,,,,False,False,False
P2,curveball,4060541.349,4061123.54,160,16.600760456273765,12.464260072094229,4061123.54,1.5657646480018148,182800.3581800586,28.011510791366906,19.288529151482102,4061123.54,2.653348452674188,240371.67709103605,3.963663890991673,2.6262368055951737,4061116.886,0.833311237631389,646.3236864129765,6.6540000000968575,0.0,48.575935138632346,0.7429069883523353,0.34174865412053,0.5766540718449166,0.08159727403455334,44.61227124764067,31.75278922357633,4.219113100676003,423172.03527109465,0.08884694233542956,70.4,,-13.3,-3.4,100.0,70.4 hz-13.3 ivb-3.4,default_max,False,True,True
P2,curveball,4154225.318,4154771.068,150,15.314470493128537,11.840808615691044,4154771.068,1.5003326287902354,1220705.1468960452,28.224719101123597,21.128233767637443,4154768.985,2.8511184236984444,3126388.4827815755,1.5603661553686294,0.7177940997359825,4154766.901,0.4727955736618024,88449.25502105831,2.0839999997988343,-2.083000000100583,45.09955574962076,0.8869977684475128,0.3395703181235286,0.6258314218840378,0.034598259992433524,43.539189594252136,32.969042383328485,4.35145105248868,4347093.629677621,0.03583819933053192,71.0,,,,100.0,71.0,default_max,False,True,True
