ball_t_ms,pointer,middle,thumb,pitcher,t_rel_ms
1152353.109,0.8192771084337349,1.756188118811881,2.6862257583291895,P1,355.08599999989383
1152355.186,0.8192771084337349,1.4333333333333333,2.3497891342098733,P1,357.16299999994226
1152357.274,0.8192771084337349,1.4655470486539885,2.6862257583291895,P1,359.2509999999311
1152359.358,0.8192771084337349,1.6591639871382637,2.6862257583291895,P1,361.33499999996275
1152361.442,0.7603833865814696,1.3689536031589338,2.6487695749440716,P1,363.4189999999944
1152363.524,0.6134020618556701,1.4011355220933104,2.424422933730454,P1,365.5009999999311
1152365.608,0.7015475313190862,1.2725030826140566,2.5739130434782607,P1,367.58499999996275
1152367.691,0.7015475313190862,1.6268545994065282,2.7611940298507465,P1,369.66800000006333
1152369.774,0.730958230958231,1.53002223869533,2.7611940298507465,P1,371.7509999999311
1152371.857,0.5547105004906772,1.53002223869533,2.424422933730454,P1,373.83400000003166
1152378.611,0.7603833865814696,1.5945611866501854,2.7611940298507465,P1,380.5879999999888
1152380.69,0.730958230958231,1.756188118811881,2.5739130434782607,P1,382.6669999998994
1152382.776,0.6427694574024061,1.6268545994065282,2.6113320079522864,P1,384.7530000000261
1152384.864,0.6134020618556701,1.7885615251299827,2.6862257583291895,P1,386.8410000000149
1152386.947,0.9372384937238494,1.756188118811881,2.424422933730454,P1,388.92399999988265
1152389.032,1.0258620689655173,1.7885615251299827,2.6862257583291895,P1,391.0089999998454
1152391.11,1.0554323725055432,1.5945611866501854,2.4991308666501117,P1,393.08700000005774
1152393.191,0.7898230088495575,1.5945611866501854,2.6862257583291895,P1,395.16800000006333
1152395.277,0.7898230088495575,1.53002223869533,2.7987061458074147,P1,397.25399999995716
1152397.36,0.7015475313190862,1.5622837370242215,2.7611940298507465,P1,399.33700000005774
1152399.441,0.9963063284905196,1.4655470486539885,2.424422933730454,P1,401.41800000006333
1152399.468,0.9963063284905196,1.3046373951652688,2.5365126676602086,P1,401.4450000000652
1152401.55,0.7898230088495575,1.3367875647668395,2.6862257583291895,P1,403.52700000000186
1152403.637,0.5547105004906772,1.3689536031589338,2.5739130434782607,P1,405.6140000000596
1152405.719,0.6134020618556701,1.3367875647668395,2.5739130434782607,P1,407.6959999999963
1152407.8,0.5840490797546012,1.3046373951652688,2.6113320079522864,P1,409.77700000000186
1152409.889,0.7898230088495575,1.3367875647668395,2.6113320079522864,P1,411.86599999992177
1152411.973,0.7603833865814696,1.208281981759921,2.836236933797909,P1,413.94999999995343
1152415.309,0.7015475313190862,1.2403846153846154,2.9113545816733066,P1,417.28599999984726
